,Acidaminococcus fermentans,Anaerostipes caccae,Anaerotruncus colihominis,Bacteroides caccae,Bacteroides coprocola,Bacteroides coprophilus,Bacteroides dorei,Bacteroides eggerthii,Bacteroides finegoldii (Alistipes finegoldii),Bacteroides fragilis,Bacteroides ovatus,Bacteroides plebeius,Bacteroides stercoris,Bacteroides thetaiotaomicron,Bacteroides uniformis,Bacteroides xylanisolvens,Bifidobacterium adolescentis,Bifidobacterium bifidum,Bifidobacterium breve,"Bifidobacterium longum (Bifidobacterium infantis, Bifidobacterium suis)",Bifidobacterium pseudocatenulatum,Bilophila wadsworthia,Blautia hansenii (Ruminococcus hansenii),Clostridium difficile,Clostridium leptum,Clostridium scindens,Clostridium symbiosum,Coprococcus eutactus,Desulfovibrio piger,Dorea formicigenerans,Eubacterium eligens,Eubacterium hallii,Eubacterium limosum,Eubacterium rectale,Eubacterium siraeum,Eubacterium ventriosum,Faecalibacterium prausnitzii,Haemophilus influenzae,Haemophilus parainfluenzae,Lactococcus lactis,Parabacteroides distasonis,Roseburia intestinalis,Roseburia inulinivorans,Ruminococcus bromii,Ruminococcus flavefaciens,Shigella sonnei,Streptococcus salivarius
0,,,,1.7372306833197642,1.7372306828813429,,1.7372306833197642,,,,1.7372306829993014,1.7372306833197642,1.7372306839582201,1.3211296363467535,1.737230682723734,1.7372306827237343,1.2552618503594293,,,1.2552618497582813,1.3645872486068038,,1.785093743196773,,1.115586975634749,,,,,1.3645872486068038,1.1970098291492484,,,1.3911319541861404,,1.1970098291492484,1.1970098291492484,,,,1.6576546283185918,,1.1374032599785953,1.2559316796736777,,1.1085421684050627,1.678950187947048
1,,,,2.4256543290777337,2.4256543290777337,,2.4256543348091038,,,2.6950274852663583,,,2.4256543290777337,2.5644586740478204,2.4256543290777337,,,,,,,1.365228394736245,3.0747475308633314,,,2.961373166887185,,,,2.5177587149919596,1.4624298989390208,2.5792299336128357,,1.802520455439486,,,1.4624298989390208,,2.716648979822391,,2.2838215519577427,2.5792299336128357,1.4624298989390208,,,,2.407429787681306
2,,,,2.186671523455169,,,2.186671523464095,,,2.1365569585725908,,2.186671523474181,2.186671523469591,1.9281989041427954,2.186671523470966,2.186671523469591,2.286749869021283,2.284353609539119,,2.286749868695937,1.6391816109467938,1.5126875340542039,2.3159685187376464,,,,,,,1.6391816109467938,1.6084465397937349,2.153424962738289,,1.844208454107965,1.6084465397937349,1.6084465397937349,1.614136008046653,,2.1918253657550815,1.2130249065611431,2.1615010256942466,2.1325988290832214,1.4676700888560124,,,1.1815171867115393,1.766222731251917
3,,,,2.0567700942633067,,,,2.0332765083648106,,1.6714278316347317,,2.0567700931554964,,1.2924540012563845,2.0567700944143774,2.056770095195059,1.9960188400123584,,,1.9960188419284206,,1.7694659997614333,2.0381435171588995,,,,1.728296357515714,,,1.7282963575157142,,2.0585762430306183,,,,1.6972893955534578,1.701758515516723,,,1.1985617985050974,2.1068227525484695,,1.6972893955534578,,,1.050630870603063,1.0652177722880922
4,,,,,,,2.0640044766279986,2.0395810910161054,,2.084464768654861,2.0640044770289294,,2.0640044736578247,1.8567686099498306,2.0640044748304858,2.064004477434544,1.7296229942174957,1.7296229930409293,,1.7296229942174957,,1.6298427439656484,1.7396412558539236,2.2973216738115374,,1.7590218316597634,1.4743042955328023,,,1.4743042955328023,1.812318481031618,2.0789593834284728,,1.8669473614370313,,1.8123184810316184,1.812318481031618,,2.1057732151792594,,2.3211220574245597,2.0789593827402784,1.812318481031618,1.8779255093804024,,1.1565328894712426,2.1990974588372576
5,,,,1.8324134472951439,,,1.8324134453499,1.792765208163975,1.8324134477676204,2.0838741260877227,1.8324134476509029,1.8324134490859567,1.8324134465563373,1.5506245944733985,1.8324134450385654,1.8324134480968186,,,,2.034603185510296,1.9234901672194555,,1.7248111899328873,,,,1.9234901672194555,,,1.9234901672194555,,2.1655062692401437,,1.607389242546439,,,1.4012050862993264,,2.181014343201722,1.1968712686831484,1.4376949657308964,,1.2416722420221218,1.28991534656556,,1.0725691472736794,1.526394817637718
6,,2.113554489350613,,,,,1.869682833070593,,,2.224266997507297,1.8696828418083806,1.869682849107113,1.8696828408341877,1.8168965459710693,1.869682848010175,,2.7026318837404424,2.7026318839491417,2.153944643151838,2.702631885201116,2.153944643151838,1.7858459935923696,1.5639791661192257,,,,,,,2.1539446431518376,1.7731694494352137,,,1.7769692118240459,,1.7731694494352137,1.7731694494352135,,,,1.4247042955413949,,1.7709618930974171,,,1.1142769324773905,
7,,,,2.3596823999736656,,,2.3596823991742353,2.130617148988157,,,2.359682400227711,,2.359682399458074,1.485484268359752,2.3596824004309465,2.3596823999736656,,,,1.5390054609859563,,1.589157475599952,1.9907760361813667,,1.0113616721599938,,,,,1.647036469356466,1.624629648104503,,1.9367324961804666,1.7429292606476916,,1.624629648104503,1.624629648104503,,,,2.036295990713806,,1.624629648104503,,,1.0105144830194333,1.8624173911433761
8,,,,1.667603365877863,,1.6676033658778633,1.6676033651053876,1.6006764543578018,,1.5358919995783529,,1.667603362393907,1.667603365877863,1.3346304093445691,1.6676033630454525,1.667603365877863,2.2886285386572505,,,2.2886285379780444,1.8281476957042266,,1.922887150764097,,,,,,,1.828147695704227,1.4038089250796397,1.789691287818193,,1.635138717773354,,1.4038089250796397,1.4038089250796397,1.8418635566776818,1.8452075065736808,,1.292107814899728,1.7876654053755494,,1.060506274002222,,1.0268141188577098,1.310859904832164
9,,,,2.329899216086245,,2.3298992160350838,2.329899217347569,,2.329899216086245,2.2121288476030063,,,2.329899214529368,2.3864827062032288,2.329899218354742,2.329899213317303,2.5868828813933606,,,2.5868828797169092,1.8889399402808926,,2.4765815832723717,,2.450788045150335,,,1.1557942910591223,,1.8889399402808922,1.1557942910591223,2.1328121044427,,1.4559549357930908,,,1.1557942910591223,,,,2.1248807388642494,,1.15481468080395,,,1.386928535825375,2.0320221093416673
